persons_count,landing_year,noc_2011_level4_eng_desc
--,2000,"9415 - Inspectors and testers, mineral and metal processing"
20,2000,9416 - Metalworking and forging machine operators
45,2000,9417 - Machining tool operators
5,2000,9418 - Other metal products machine operators
--,2000,9421 - Chemical plant machine operators
5,2000,9422 - Plastics processing machine operators
--,2000,9423 - Rubber processing machine operators and related workers
--,2000,9431 - Sawmill machine operators
--,2000,9433 - Papermaking and finishing machine operators
--,2000,9434 - Other wood processing machine operators
15,2000,9437 - Woodworking machine operators
15,2000,"9441 - Textile fibre and yarn, hide and pelt processing machine operators and workers"
20,2000,"9442 - Weavers, knitters and other fabric making occupations"
10,2000,"9445 - Fabric, fur and leather cutters"
70,2000,9446 - Industrial sewing machine operators
--,2000,"9447 - Inspectors and graders, textile, fabric, fur and leather products manufacturing"
10,2000,"9461 - Process control and machine operators, food, beverage and associated products processing"
10,2000,"9462 - Industrial butchers and meat cutters, poultry preparers and related workers"
--,2000,"9465 - Testers and graders, food, beverage and associated products processing"
15,2000,9471 - Plateless printing equipment operators
--,2000,"9472 - Camera, platemaking and other prepress occupations"
5,2000,9473 - Binding and finishing machine operators
10,2000,9474 - Photographic and film processors
--,2000,9521 - Aircraft assemblers and aircraft assembly inspectors
10,2000,"9522 - Motor vehicle assemblers, inspectors and testers"
15,2000,"9523 - Electronics assemblers, fabricators, inspectors and testers"
5,2000,"9524 - Assemblers and inspectors, electrical appliance, apparatus and equipment manufacturing"
5,2000,"9525 - Assemblers, fabricators and inspectors, industrial electrical motors and transformers"
--,2000,9526 - Mechanical assemblers and inspectors
10,2000,"9527 - Machine operators and inspectors, electrical apparatus manufacturing"
--,2000,9531 - Boat assemblers and inspectors
10,2000,9532 - Furniture and fixture assemblers and inspectors
--,2000,9533 - Other wood products assemblers and inspectors
5,2000,9534 - Furniture finishers and refinishers
5,2000,"9535 - Plastic products assemblers, finishers and inspectors"
5,2000,"9536 - Industrial painters, coaters and metal finishing process operators"
130,2000,"9537 - Other products assemblers, finishers and inspectors"
--,2000,9611 - Labourers in mineral and metal processing
10,2000,9612 - Labourers in metal fabrication
--,2000,9613 - Labourers in chemical products processing and utilities
5,2000,"9614 - Labourers in wood, pulp and paper processing"
10,2000,9615 - Labourers in rubber and plastic products manufacturing
15,2000,9616 - Labourers in textile processing
30,2000,"9617 - Labourers in food, beverage and associated products processing"
--,2000,9618 - Labourers in fish and seafood processing
140,2000,"9619 - Other labourers in processing, manufacturing and utilities"
5,2000,Not stated
169500,2000,Other
--,2001,0011 - Legislators
10,2001,0012 - Senior government managers and officials
40,2001,"0013 - Senior managers - financial, communications and other business services"
25,2001,"0014 - Senior managers - health, education, social and community services and membership organizations"
30,2001,"0015 - Senior managers - trade, broadcasting and other services, n.e.c."
35,2001,"0016 - Senior managers - construction, transportation, production and utilities"
920,2001,0111 - Financial managers
40,2001,0112 - Human resources managers
30,2001,0113 - Purchasing managers
85,2001,0114 - Other administrative services managers
25,2001,"0121 - Insurance, real estate and financial brokerage managers"
380,2001,"0122 - Banking, credit and other investment managers"
480,2001,"0124 - Advertising, marketing and public relations managers"
10,2001,0131 - Telecommunication carriers managers
--,2001,0132 - Postal and courier services managers
35,2001,0211 - Engineering managers
5,2001,0212 - Architecture and science managers
45,2001,0213 - Computer and information systems managers
10,2001,0311 - Managers in health care
--,2001,0411 - Government managers - health and social policy development and program administration
5,2001,"0412 - Government managers - economic analysis, policy development and program administration"
--,2001,0413 - Government managers - education policy development and program administration
5,2001,0414 - Other managers in public administration
10,2001,0421 - Administrators - post-secondary education and vocational training
5,2001,0422 - School principals and administrators of elementary and secondary education
5,2001,"0423 - Managers in social, community and correctional services"
--,2001,0431 - Commissioned police officers
10,2001,0433 - Commissioned officers of the Canadian Forces
--,2001,"0511 - Library, archive, museum and art gallery managers"
5,2001,"0512 - Managers - publishing, motion pictures, broadcasting and performing arts"
10,2001,"0513 - Recreation, sports and fitness program and service directors"
265,2001,0621 - Retail and wholesale trade managers
130,2001,0631 - Restaurant and food service managers
