persons_count,landing_year,census_metropolitan_area_eng_desc
135,2004,Kamloops
35,2004,Kawartha Lakes
310,2004,Kelowna
15,2004,Kenora
15,2004,Kentville
480,2004,Kingston
2765,2004,Kitchener - Cambridge - Waterloo
10,2004,Lachute
35,2004,Lacombe
105,2004,Leamington
215,2004,Lethbridge
15,2004,Lloydminster (Alberta part)
--,2004,Lloydminster (Saskatchewan part)
2350,2004,London
--,2004,Matane
150,2004,Medicine Hat
25,2004,Midland
--,2004,Miramichi
205,2004,Moncton
36305,2004,Montréal
70,2004,Moose Jaw
175,2004,Nanaimo
10,2004,New Glasgow
70,2004,Norfolk
20,2004,North Battleford
40,2004,North Bay
50,2004,Okotoks
55,2004,Orillia
755,2004,Oshawa
645,2004,Other - Alberta
770,2004,Other - British Columbia
975,2004,Other - Manitoba
75,2004,Other - New Brunswick
90,2004,Other - Newfoundland and Labrador
205,2004,Other - Nova Scotia
825,2004,Other - Ontario
25,2004,Other - Prince Edward Island
585,2004,Other - Quebec
240,2004,Other - Saskatchewan
6385,2004,Ottawa - Gatineau (Ontario part)
1025,2004,Ottawa - Gatineau (Quebec part)
1225,2004,Outside of defined CMA
20,2004,Owen Sound
35,2004,Parksville
10,2004,Pembroke
55,2004,Penticton
--,2004,Petawawa
155,2004,Peterborough
20,2004,Port Alberni
10,2004,Port Hope
10,2004,Portage la Prairie
20,2004,Powell River
100,2004,Prince Albert
140,2004,Prince George
35,2004,Prince Rupert
2220,2004,Québec
20,2004,Quesnel
255,2004,Red Deer
655,2004,Regina
40,2004,Rimouski
10,2004,Rivière-du-Loup
--,2004,Rouyn-Noranda
265,2004,Saguenay
185,2004,Saint John
--,2004,Saint-Georges
120,2004,Saint-Hyacinthe
55,2004,Saint-Jean-sur-Richelieu
40,2004,Salaberry-de-Valleyfield
25,2004,Salmon Arm
135,2004,Sarnia
800,2004,Saskatoon
50,2004,Sault Ste. Marie
5,2004,Sept-Îles
25,2004,Shawinigan
880,2004,Sherbrooke
10,2004,Sorel-Tracy
40,2004,Squamish
1295,2004,St. Catharines - Niagara
425,2004,St. John's
310,2004,Steinbach
30,2004,Stratford
10,2004,Strathmore
30,2004,Summerside
10,2004,Swift Current
10,2004,Sylvan Lake
5,2004,Temiskaming Shores
15,2004,Terrace
35,2004,"Territories, outside Census agglomeration (CA)"
10,2004,Thetford Mines
20,2004,Thompson
140,2004,Thunder Bay
30,2004,Tillsonburg
15,2004,Timmins
99725,2004,Toronto
1750,2004,Trois-Rivières
25,2004,Truro
15,2004,Val-d'Or
32700,2004,Vancouver
55,2004,Vernon
1065,2004,Victoria
80,2004,Victoriaville
40,2004,Wetaskiwin
55,2004,Whitehorse
30,2004,Williams Lake
2820,2004,Windsor
5910,2004,Winnipeg
130,2004,Wood Buffalo
55,2004,Woodstock
65,2004,Yellowknife
10,2004,Yorkton
1315,2005,Abbotsford - Mission
5,2005,Alma
--,2005,Amos
15,2005,Baie-Comeau
370,2005,Barrie
15,2005,Bathurst
--,2005,Bay Roberts
360,2005,Belleville
185,2005,Brandon
225,2005,Brantford
20,2005,Brockville
100,2005,Brooks
11190,2005,Calgary
30,2005,Campbell River
10,2005,Campbellton (New Brunswick part)
20,2005,Camrose
75,2005,Canmore
35,2005,Cape Breton
35,2005,Centre Wellington
235,2005,Charlottetown
160,2005,Chatham-Kent
185,2005,Chilliwack
20,2005,Cobourg
5,2005,Cold Lake
25,2005,Collingwood
--,2005,Corner Brook
90,2005,Cornwall
80,2005,Courtenay
--,2005,Cowansville
20,2005,Cranbrook
15,2005,Dawson Creek
--,2005,Dolbeau-Mistassini
190,2005,Drummondville
60,2005,Duncan
6015,2005,Edmonton
15,2005,Edmundston
--,2005,Elliot Lake
15,2005,Estevan
40,2005,Fort St. John
310,2005,Fredericton
170,2005,Granby
10,2005,Grand Falls-Windsor
95,2005,Grande Prairie
130,2005,Greater Sudbury
825,2005,Guelph
1495,2005,Halifax
4530,2005,Hamilton
15,2005,Hawkesbury (Ontario part)
--,2005,Hawkesbury (Quebec part)
35,2005,High River
5,2005,Ingersoll
60,2005,Joliette
125,2005,Kamloops
50,2005,Kawartha Lakes
365,2005,Kelowna
15,2005,Kenora
25,2005,Kentville
395,2005,Kingston
2965,2005,Kitchener - Cambridge - Waterloo
10,2005,Lachute
35,2005,Lacombe
130,2005,Leamington
250,2005,Lethbridge
25,2005,Lloydminster (Alberta part)
5,2005,Lloydminster (Saskatchewan part)
3240,2005,London
10,2005,Matane
150,2005,Medicine Hat
40,2005,Midland
20,2005,Miramichi
190,2005,Moncton
35520,2005,Montréal
110,2005,Moose Jaw
220,2005,Nanaimo
15,2005,New Glasgow
80,2005,Norfolk
65,2005,North Battleford
40,2005,North Bay
--,2005,Not stated
65,2005,Okotoks
45,2005,Orillia
840,2005,Oshawa
645,2005,Other - Alberta
875,2005,Other - British Columbia
1185,2005,Other - Manitoba
135,2005,Other - New Brunswick
55,2005,Other - Newfoundland and Labrador
215,2005,Other - Nova Scotia
895,2005,Other - Ontario
45,2005,Other - Prince Edward Island
595,2005,Other - Quebec
300,2005,Other - Saskatchewan
6405,2005,Ottawa - Gatineau (Ontario part)
1015,2005,Ottawa - Gatineau (Quebec part)
1330,2005,Outside of defined CMA
15,2005,Owen Sound
55,2005,Parksville
20,2005,Pembroke
70,2005,Penticton
10,2005,Petawawa
185,2005,Peterborough
20,2005,Port Alberni
10,2005,Port Hope
10,2005,Portage la Prairie
15,2005,Powell River
100,2005,Prince Albert
150,2005,Prince George
30,2005,Prince Rupert
2105,2005,Québec
20,2005,Quesnel
320,2005,Red Deer
630,2005,Regina
25,2005,Rimouski
5,2005,Rivière-du-Loup
--,2005,Rouyn-Noranda
145,2005,Saguenay
310,2005,Saint John
--,2005,Saint-Georges
155,2005,Saint-Hyacinthe
75,2005,Saint-Jean-sur-Richelieu
40,2005,Salaberry-de-Valleyfield
30,2005,Salmon Arm
160,2005,Sarnia
845,2005,Saskatoon
40,2005,Sault Ste. Marie
10,2005,Sept-Îles
20,2005,Shawinigan
810,2005,Sherbrooke
5,2005,Sorel-Tracy
65,2005,Squamish
1760,2005,St. Catharines - Niagara
400,2005,St. John's
370,2005,Steinbach
50,2005,Stratford
10,2005,Strathmore
10,2005,Summerside
20,2005,Swift Current
10,2005,Sylvan Lake
--,2005,Temiskaming Shores
35,2005,Terrace
35,2005,"Territories, outside Census agglomeration (CA)"
20,2005,Thetford Mines
50,2005,Thompson
115,2005,Thunder Bay
25,2005,Tillsonburg
30,2005,Timmins
112610,2005,Toronto
1840,2005,Trois-Rivières
25,2005,Truro
5,2005,Val-d'Or
39500,2005,Vancouver
95,2005,Vernon
1205,2005,Victoria
100,2005,Victoriaville
25,2005,Wetaskiwin
50,2005,Whitehorse
25,2005,Williams Lake
3090,2005,Windsor
6190,2005,Winnipeg
245,2005,Wood Buffalo
60,2005,Woodstock
75,2005,Yellowknife
10,2005,Yorkton
1385,2006,Abbotsford - Mission
5,2006,Alma
--,2006,Amos
20,2006,Baie-Comeau
425,2006,Barrie
30,2006,Bathurst
--,2006,Bay Roberts
380,2006,Belleville
175,2006,Brandon
270,2006,Brantford
55,2006,Brockville
120,2006,Brooks
11830,2006,Calgary
80,2006,Campbell River
10,2006,Campbellton (New Brunswick part)
15,2006,Camrose
80,2006,Canmore
70,2006,Cape Breton
25,2006,Centre Wellington
490,2006,Charlottetown
105,2006,Chatham-Kent
185,2006,Chilliwack
25,2006,Cobourg
15,2006,Cold Lake
25,2006,Collingwood
20,2006,Corner Brook
95,2006,Cornwall
80,2006,Courtenay
10,2006,Cowansville
40,2006,Cranbrook
35,2006,Dawson Creek
130,2006,Drummondville
45,2006,Duncan
6450,2006,Edmonton
10,2006,Edmundston
--,2006,Elliot Lake
5,2006,Estevan
55,2006,Fort St. John
485,2006,Fredericton
155,2006,Granby
10,2006,Grand Falls-Windsor
110,2006,Grande Prairie
130,2006,Greater Sudbury
775,2006,Guelph
1985,2006,Halifax
3990,2006,Hamilton
20,2006,Hawkesbury (Ontario part)
45,2006,High River
10,2006,Ingersoll
115,2006,Joliette
185,2006,Kamloops
60,2006,Kawartha Lakes
405,2006,Kelowna
15,2006,Kenora
20,2006,Kentville
415,2006,Kingston
3320,2006,Kitchener - Cambridge - Waterloo
15,2006,Lachute
15,2006,Lacombe
130,2006,Leamington
290,2006,Lethbridge
35,2006,Lloydminster (Alberta part)
10,2006,Lloydminster (Saskatchewan part)
2980,2006,London
5,2006,Matane
170,2006,Medicine Hat
25,2006,Midland
15,2006,Miramichi
260,2006,Moncton
36430,2006,Montréal
85,2006,Moose Jaw
210,2006,Nanaimo
20,2006,New Glasgow
65,2006,Norfolk
100,2006,North Battleford
45,2006,North Bay
15,2006,Not stated
75,2006,Okotoks
45,2006,Orillia
745,2006,Oshawa
745,2006,Other - Alberta
1010,2006,Other - British Columbia
1655,2006,Other - Manitoba
180,2006,Other - New Brunswick
65,2006,Other - Newfoundland and Labrador
320,2006,Other - Nova Scotia
910,2006,Other - Ontario
50,2006,Other - Prince Edward Island
510,2006,Other - Quebec
395,2006,Other - Saskatchewan
6310,2006,Ottawa - Gatineau (Ontario part)
1030,2006,Ottawa - Gatineau (Quebec part)
950,2006,Outside of defined CMA
10,2006,Owen Sound
60,2006,Parksville
15,2006,Pembroke
70,2006,Penticton
--,2006,Petawawa
165,2006,Peterborough
35,2006,Port Alberni
15,2006,Port Hope
10,2006,Portage la Prairie
35,2006,Powell River
65,2006,Prince Albert
150,2006,Prince George
30,2006,Prince Rupert
1845,2006,Québec
30,2006,Quesnel
295,2006,Red Deer
825,2006,Regina
70,2006,Rimouski
5,2006,Rivière-du-Loup
15,2006,Rouyn-Noranda
195,2006,Saguenay
545,2006,Saint John
--,2006,Saint-Georges
125,2006,Saint-Hyacinthe
90,2006,Saint-Jean-sur-Richelieu
40,2006,Salaberry-de-Valleyfield
40,2006,Salmon Arm
155,2006,Sarnia
1165,2006,Saskatoon
60,2006,Sault Ste. Marie
10,2006,Sept-Îles
25,2006,Shawinigan
1135,2006,Sherbrooke
15,2006,Sorel-Tracy
60,2006,Squamish
1590,2006,St. Catharines - Niagara
395,2006,St. John's
400,2006,Steinbach
60,2006,Stratford
10,2006,Strathmore
15,2006,Summerside
25,2006,Swift Current
15,2006,Sylvan Lake
--,2006,Temiskaming Shores
35,2006,Terrace
20,2006,"Territories, outside Census agglomeration (CA)"
--,2006,Thetford Mines
55,2006,Thompson
180,2006,Thunder Bay
